date,Team_Name,Average_Age
11/17/21,TORONTO RAPTORS,25.26
11/17/21,UTAH JAZZ,28.63
11/17/21,WASHINGTON WIZARDS,26.58
11/21/21,ATLANTA HAWKS,27.12
11/21/21,BOSTON CELTICS,25.92
11/21/21,BROOKLYN NETS,30.02
11/21/21,CHARLOTTE HORNETS,26
11/21/21,CHICAGO BULLS,25.28
11/21/21,CLEVELAND CAVALIERS,25.67
11/21/21,DALLAS MAVERICKS,27.1
11/21/21,DENVER NUGGETS,26.52
11/21/21,DETROIT PISTONS,24.62
11/21/21,GOLDEN STATE WARRIORS,27.91
11/21/21,HOUSTON ROCKETS,25.39
11/21/21,INDIANA PACERS,27.01
11/21/21,LOS ANGELES CLIPPERS,27.26
11/21/21,LOS ANGELES LAKERS,31.22
11/21/21,MEMPHIS GRIZZLIES,24.09
11/21/21,MIAMI HEAT,29.04
11/21/21,MILWAUKEE BUCKS,27.79
11/21/21,MINNESOTA TIMBERWOLVES,24.56
11/21/21,NEW ORLEANS PELICANS,25.65
11/21/21,NEW YORK KNICKS,26.95
11/21/21,OKLAHOMA CITY THUNDER,23.55
11/21/21,ORLANDO MAGIC,24.47
11/21/21,PHILADELPHIA 76ERS,26.15
11/21/21,PHOENIX SUNS,27.58
11/21/21,PORTLAND TRAIL BLAZERS,27.62
11/21/21,SACRAMENTO KINGS,25.79
11/21/21,SAN ANTONIO SPURS,25.68
11/21/21,TORONTO RAPTORS,25.26
11/21/21,UTAH JAZZ,29.17
11/21/21,WASHINGTON WIZARDS,26.07
11/22/21,ATLANTA HAWKS,27.12
11/22/21,BOSTON CELTICS,25.92
11/22/21,BROOKLYN NETS,30.02
11/22/21,CHARLOTTE HORNETS,26
11/22/21,CHICAGO BULLS,25.28
11/22/21,CLEVELAND CAVALIERS,25.67
11/22/21,DALLAS MAVERICKS,27.1
11/22/21,DENVER NUGGETS,26.52
11/22/21,DETROIT PISTONS,24.62
11/22/21,GOLDEN STATE WARRIORS,27.91
11/22/21,HOUSTON ROCKETS,25.39
11/22/21,INDIANA PACERS,27.01
11/22/21,LOS ANGELES CLIPPERS,27.26
